,Estacion_x,Estacion_y,Distancia
0,9 de julio,9 de julio,0
1,9 de julio,Aeroparque aero,245
2,9 de julio,Anguil,302
3,9 de julio,Bahia blanca aero,381
4,9 de julio,Balcarce,344
5,9 de julio,Barrow,325
6,9 de julio,Bella vista,801
7,9 de julio,Bordenave,329
8,9 de julio,Buenos aires,238
9,9 de julio,Castelar,5842
10,9 de julio,Catamarca aero,889
11,9 de julio,Ceres aero,627
12,9 de julio,Cerro azul,1008
13,9 de julio,Colonia benitez,910
14,9 de julio,Conc. del uruguay,5880
15,9 de julio,Concordia aero,532
16,9 de julio,Cordoba aero,553
17,9 de julio,Cordoba observatorio,542
18,9 de julio,Coronel suarez aero,241
19,9 de julio,Corrientes aero,910
20,9 de julio,Dolores aero,301
21,9 de julio,Ezeiza aero,224
22,9 de julio,Famailla,1027
23,9 de julio,Formosa aero,1056
24,9 de julio,General pico aero,261
25,9 de julio,Gualeguaychu aero,341
26,9 de julio,Hilario ascasubi,464
27,9 de julio,Iguazu aero,1240
28,9 de julio,Jujuy aero,1294
29,9 de julio,Junin aero,99
30,9 de julio,La consulta,777
31,9 de julio,La plata aero,276
32,9 de julio,La rioja aero,872
33,9 de julio,Laboulaye aero,269
34,9 de julio,Laquiaca obs.,1552
35,9 de julio,Las brenas,927
36,9 de julio,Las lomitas,1194
37,9 de julio,Malargue aero,787
38,9 de julio,Manfredi,483
39,9 de julio,Mar del plata aero,403
40,9 de julio,Marcos juarez,327
41,9 de julio,Marcos juarez aero,328
42,9 de julio,Mendoza aero,784
43,9 de julio,Mendoza observatorio,787
44,9 de julio,Mercedad (ctes),747
45,9 de julio,Monte caseros aero,649
46,9 de julio,Neuquen aero,751
47,9 de julio,Oliveros,321
48,9 de julio,Oran aero,1406
49,9 de julio,Parana,14825
50,9 de julio,Parana aero,407
51,9 de julio,Paso de los libres aero,728
52,9 de julio,Pehuajo aero,99
53,9 de julio,Pergamino,170
54,9 de julio,Pigue aero,276
55,9 de julio,Pilar obs.,502
56,9 de julio,Posadas aero,1008
57,9 de julio,Punta indio b.a.,329
58,9 de julio,Rafaela,477
59,9 de julio,Reconquista,704
60,9 de julio,Reconquista aero,702
61,9 de julio,Resistencia aero,906
62,9 de julio,Rio cuarto aero,406
63,9 de julio,Roque saenz pena,953
64,9 de julio,Rosario aero,280
65,9 de julio,Salta aero,1258
66,9 de julio,San juan,825
67,9 de julio,San juan aero,820
68,9 de julio,San luis aero,556
69,9 de julio,San martin (mza),745
70,9 de julio,San miguel,220
71,9 de julio,San pedro,224
72,9 de julio,San rafael aero,691
73,9 de julio,Santa rosa aero,331
74,9 de julio,Santiago del estero aero,913
75,9 de julio,Sauce viejo aero,414
76,9 de julio,Tandil aero,248
77,9 de julio,Tinogasta,1037
78,9 de julio,Tres arroyos,331
79,9 de julio,Unr-zavalla,269
80,9 de julio,Villa dolores aero,553
81,9 de julio,Villa mercedes,462
82,9 de julio,Villa reynolds aero,453
83,Aeroparque aero,9 de julio,245
84,Aeroparque aero,Aeroparque aero,0
85,Aeroparque aero,Anguil,548
86,Aeroparque aero,Bahia blanca aero,570
87,Aeroparque aero,Balcarce,354
88,Aeroparque aero,Barrow,449
89,Aeroparque aero,Bella vista,683
90,Aeroparque aero,Bordenave,552
91,Aeroparque aero,Buenos aires,7
92,Aeroparque aero,Castelar,5707
93,Aeroparque aero,Catamarca aero,960
94,Aeroparque aero,Ceres aero,617
95,Aeroparque aero,Cerro azul,818
96,Aeroparque aero,Colonia benitez,795
97,Aeroparque aero,Conc. del uruguay,5973
98,Aeroparque aero,Concordia aero,364
99,Aeroparque aero,Cordoba aero,650
100,Aeroparque aero,Cordoba observatorio,642
101,Aeroparque aero,Coronel suarez aero,448
102,Aeroparque aero,Corrientes aero,791
103,Aeroparque aero,Dolores aero,205
104,Aeroparque aero,Ezeiza aero,30
105,Aeroparque aero,Famailla,1069
106,Aeroparque aero,Formosa aero,928
107,Aeroparque aero,General pico aero,502
108,Aeroparque aero,Gualeguaychu aero,173
109,Aeroparque aero,Hilario ascasubi,653
110,Aeroparque aero,Iguazu aero,1051
111,Aeroparque aero,Jujuy aero,1302
112,Aeroparque aero,Junin aero,230
113,Aeroparque aero,La consulta,989
114,Aeroparque aero,La plata aero,65
115,Aeroparque aero,La rioja aero,977
116,Aeroparque aero,Laboulaye aero,456
117,Aeroparque aero,Laquiaca obs.,1552
118,Aeroparque aero,Las brenas,868
119,Aeroparque aero,Las lomitas,1116
120,Aeroparque aero,Malargue aero,1021
121,Aeroparque aero,Manfredi,584
122,Aeroparque aero,Mar del plata aero,382
123,Aeroparque aero,Marcos juarez,402
124,Aeroparque aero,Marcos juarez aero,404
125,Aeroparque aero,Mendoza aero,979
126,Aeroparque aero,Mendoza observatorio,984
127,Aeroparque aero,Mercedad (ctes),600
128,Aeroparque aero,Monte caseros aero,482
129,Aeroparque aero,Neuquen aero,994
130,Aeroparque aero,Oliveros,317
131,Aeroparque aero,Oran aero,1392
132,Aeroparque aero,Parana,14942
133,Aeroparque aero,Parana aero,363
134,Aeroparque aero,Paso de los libres aero,554
135,Aeroparque aero,Pehuajo aero,344
136,Aeroparque aero,Pergamino,208
137,Aeroparque aero,Pigue aero,492
138,Aeroparque aero,Pilar obs.,601
139,Aeroparque aero,Posadas aero,830
140,Aeroparque aero,Punta indio b.a.,131
141,Aeroparque aero,Rafaela,476
142,Aeroparque aero,Reconquista,610
143,Aeroparque aero,Reconquista aero,608
144,Aeroparque aero,Resistencia aero,794
145,Aeroparque aero,Rio cuarto aero,565
146,Aeroparque aero,Roque saenz pena,876
147,Aeroparque aero,Rosario aero,285
148,Aeroparque aero,Salta aero,1277
149,Aeroparque aero,San juan,989
150,Aeroparque aero,San juan aero,989
151,Aeroparque aero,San luis aero,746
152,Aeroparque aero,San martin (mza),943
153,Aeroparque aero,San miguel,28
154,Aeroparque aero,San pedro,152
155,Aeroparque aero,San rafael aero,914
156,Aeroparque aero,Santa rosa aero,576
157,Aeroparque aero,Santiago del estero aero,940
158,Aeroparque aero,Sauce viejo aero,387
159,Aeroparque aero,Tandil aero,307
160,Aeroparque aero,Tinogasta,1132
161,Aeroparque aero,Tres arroyos,459
162,Aeroparque aero,Unr-zavalla,285
163,Aeroparque aero,Villa dolores aero,690
164,Aeroparque aero,Villa mercedes,657
165,Aeroparque aero,Villa reynolds aero,647
166,Anguil,9 de julio,302
167,Anguil,Aeroparque aero,548
168,Anguil,Anguil,0
169,Anguil,Bahia blanca aero,294
170,Anguil,Balcarce,522
171,Anguil,Barrow,386
172,Anguil,Bella vista,1014
173,Anguil,Bordenave,172
174,Anguil,Buenos aires,540
175,Anguil,Castelar,6010
176,Anguil,Catamarca aero,895
177,Anguil,Ceres aero,761
178,Anguil,Cerro azul,1270
179,Anguil,Colonia benitez,1115
180,Anguil,Conc. del uruguay,5769
181,Anguil,Concordia aero,798
182,Anguil,Cordoba aero,577
183,Anguil,Cordoba observatorio,565
184,Anguil,Coronel suarez aero,213
185,Anguil,Corrientes aero,1119
186,Anguil,Dolores aero,560
187,Anguil,Ezeiza aero,526
188,Anguil,Famailla,1059
189,Anguil,Formosa aero,1267
190,Anguil,General pico aero,92
191,Anguil,Gualeguaychu aero,625
192,Anguil,Hilario ascasubi,341
193,Anguil,Iguazu aero,1498
194,Anguil,Jujuy aero,1351
195,Anguil,Junin aero,350
196,Anguil,La consulta,559
197,Anguil,La plata aero,575
198,Anguil,La rioja aero,833
199,Anguil,Laboulaye aero,269
200,Anguil,Laquiaca obs.,1608
201,Anguil,Las brenas,1079
202,Anguil,Las lomitas,1351
203,Anguil,Malargue aero,516
204,Anguil,Manfredi,520
205,Anguil,Mar del plata aero,588
206,Anguil,Marcos juarez,457
207,Anguil,Marcos juarez aero,456
208,Anguil,Mendoza aero,600
209,Anguil,Mendoza observatorio,600
210,Anguil,Mercedad (ctes),986
211,Anguil,Monte caseros aero,908
212,Anguil,Neuquen aero,456
213,Anguil,Oliveros,524
214,Anguil,Oran aero,1484
215,Anguil,Parana,14667
216,Anguil,Parana aero,614
217,Anguil,Paso de los libres aero,988
218,Anguil,Pehuajo aero,203
219,Anguil,Pergamino,422
220,Anguil,Pigue aero,187
221,Anguil,Pilar obs.,536
222,Anguil,Posadas aero,1262
223,Anguil,Punta indio b.a.,621
224,Anguil,Rafaela,632
225,Anguil,Reconquista,906
226,Anguil,Reconquista aero,904
227,Anguil,Resistencia aero,1109
228,Anguil,Rio cuarto aero,380
229,Anguil,Roque saenz pena,1121
230,Anguil,Rosario aero,493
231,Anguil,Salta aero,1304
232,Anguil,San juan,696
